Eelsite,Group,Abundance,Proportion
Bedwell Noneelgrass,Larvacean,4.666666667,2.405498282
Bedwell Noneelgrass,Decapod,0,0
Bedwell Noneelgrass,Calanoid,18.66666667,9.62199313
Bedwell Noneelgrass,Cladoceran,2,1.030927835
Bedwell Noneelgrass,Cumacean,21.66666667,11.16838488
Bedwell Noneelgrass,Gammarid,6,3.092783506
Bedwell Noneelgrass,Harpacticoid,126.3333333,65.12027491
Bedwell Noneelgrass,Mysid,0,0
Bedwell Noneelgrass,Decapod,3.333333333,1.718213058
Bedwell Noneelgrass,Ostracod,2.333333333,1.202749141
Bedwell Noneelgrass,Polychaete,8.333333333,4.295532646
Bedwell Noneelgrass,Bivalve,0.666666667,0.343642612
Fraser Eelgrass,Larvacean,10.06944444,0.352664367
Fraser Eelgrass,Barnacle,134.1666667,4.698948672
Fraser Eelgrass,Decapod,1.590277778,0.055696648
Fraser Eelgrass,Calanoid,1161.715278,40.68700965
Fraser Eelgrass,Cladoceran,344.2569444,12.05698667
Fraser Eelgrass,Jellyfish,0.375,0.013133707
Fraser Eelgrass,Jellyfish,0.0625,0.002188951
Fraser Eelgrass,Cumacean,1.701388889,0.059588117
Fraser Eelgrass,Cyclopoid/Poecilostomatoid,0,0
Fraser Eelgrass,Echinoderm,0.6875,0.024078464
Fraser Eelgrass,Fish,0,0
Fraser Eelgrass,Gammarid,10.37361111,0.363317263
Fraser Eelgrass,Pteropod,0,0
Fraser Eelgrass,Harpacticoid,1163.986111,40.76654153
Fraser Eelgrass,Mysid,8.125,0.284563662
Fraser Eelgrass,Decapod,0.0625,0.002188951
Fraser Eelgrass,Ostracod,0,0
Fraser Eelgrass,Polychaete,17.01388889,0.595881172
Fraser Eelgrass,Bivalve,1.0625,0.037212171
Fraser Noneelgrass,Larvacean,40.375,2.348806205
Fraser Noneelgrass,Barnacle,32.95833333,1.917343352
Fraser Noneelgrass,Decapod,0.3125,0.018179615
Fraser Noneelgrass,Calanoid,1076.541667,62.6275603
Fraser Noneelgrass,Cladoceran,391.875,22.79723669
Fraser Noneelgrass,Jellyfish,0.833333333,0.048478972
Fraser Noneelgrass,Jellyfish,0,0
Fraser Noneelgrass,Cumacean,0.125,0.007271846
Fraser Noneelgrass,Cyclopoid/Poecilostomatoid,0.354166667,0.020603563
Fraser Noneelgrass,Echinoderm,1.416666667,0.082414253
Fraser Noneelgrass,Fish,0.0625,0.003635923
Fraser Noneelgrass,Gammarid,0.3125,0.018179615
Fraser Noneelgrass,Pteropod,0.9375,0.054538844
Fraser Noneelgrass,Harpacticoid,142.0833333,8.265664765
Fraser Noneelgrass,Mysid,0.979166667,0.056962792
Fraser Noneelgrass,Decapod,0,0
Fraser Noneelgrass,Ostracod,4,0.232699067
Fraser Noneelgrass,Polychaete,21.97916667,1.278632893
Fraser Noneelgrass,Bivalve,3.8125,0.221791298
Koeye Eelgrass,Larvacean,0.3,0.139211137
Koeye Eelgrass,Barnacle,2.7,1.252900232
Koeye Eelgrass,Decapod,0.2,0.092807425
Koeye Eelgrass,Calanoid,5.6,2.598607889
Koeye Eelgrass,Cladoceran,2.1,0.974477958
Koeye Eelgrass,Cumacean,1.7,0.788863109
Koeye Eelgrass,Cyclopoid/Poecilostomatoid,0,0
Koeye Eelgrass,Echinoderm,0.1,0.046403712
Koeye Eelgrass,Euphausiid,0.2,0.092807425
Koeye Eelgrass,Fish,0.1,0.046403712
Koeye Eelgrass,Gammarid,18.4,8.538283063
Koeye Eelgrass,Harpacticoid,158.9,73.73549884
Koeye Eelgrass,Hyperiid,0.2,0.092807425
Koeye Eelgrass,Decapod,0,0
Koeye Eelgrass,Ostracod,15.6,7.238979118
Koeye Eelgrass,Polychaete,7.4,3.43387471
Koeye Eelgrass,Bivalve,2,0.928074246
Koeye Noneelgrass,Larvacean,0.1,0.144508671
Koeye Noneelgrass,Barnacle,0.8,1.156069364
Koeye Noneelgrass,Decapod,0,0
Koeye Noneelgrass,Calanoid,6,8.670520231
Koeye Noneelgrass,Cladoceran,1.7,2.456647399
Koeye Noneelgrass,Cumacean,0.1,0.144508671
Koeye Noneelgrass,Cyclopoid/Poecilostomatoid,0.1,0.144508671
Koeye Noneelgrass,Echinoderm,0,0
Koeye Noneelgrass,Euphausiid,0.1,0.144508671
Koeye Noneelgrass,Fish,0,0
Koeye Noneelgrass,Gammarid,1.9,2.74566474
Koeye Noneelgrass,Harpacticoid,3.5,5.057803468
Koeye Noneelgrass,Hyperiid,0,0
Koeye Noneelgrass,Decapod,0.1,0.144508671
Koeye Noneelgrass,Ostracod,5.3,7.658959538
Koeye Noneelgrass,Polychaete,49.2,71.0982659
Koeye Noneelgrass,Bivalve,0.3,0.433526012
Qualicum Eelgrass,Larvacean,4.9375,1.437539805
Qualicum Eelgrass,Barnacle,0.625,0.181967064
Qualicum Eelgrass,Bivalve,0,0
Qualicum Eelgrass,Decapod,2.625,0.764261669
Qualicum Eelgrass,Calanoid,21.75,6.332453826
Qualicum Eelgrass,Caprellid,9.4375,2.747702666
Qualicum Eelgrass,Cladoceran,0,0
Qualicum Eelgrass,Cumacean,0.875,0.25475389
Qualicum Eelgrass,Cyclopoid/Poecilostomatoid,0.0625,0.018196706
Qualicum Eelgrass,Echinoderm,0.0625,0.018196706
Qualicum Eelgrass,Fish,0.5,0.145573651
Qualicum Eelgrass,Gammarid,197.53125,57.51069057
Qualicum Eelgrass,Pteropod,3.625,1.055408971
Qualicum Eelgrass,Harpacticoid,11.375,3.311800564
Qualicum Eelgrass,Insect,0.125,0.036393413
Qualicum Eelgrass,Mysid,0.5625,0.163770358
Qualicum Eelgrass,Decapod,79.5625,23.16440724
Qualicum Eelgrass,Ostracod,4.1875,1.219179329
Qualicum Eelgrass,Polychaete,3,0.873441907
Qualicum Eelgrass,Bivalve,2.625,0.764261669
Qualicum Noneelgrass,Larvacean,0.5,0.10457246
Qualicum Noneelgrass,Barnacle,4.82967033,1.01010101
Qualicum Noneelgrass,Bivalve,1,0.209144919
Qualicum Noneelgrass,Decapod,3,0.627434757
Qualicum Noneelgrass,Calanoid,11.71428571,2.449983336
Qualicum Noneelgrass,Caprellid,69.30769231,14.4953517
Qualicum Noneelgrass,Cladoceran,1.285714286,0.26890061
Qualicum Noneelgrass,Cumacean,27.28571429,5.706668506
Qualicum Noneelgrass,Cyclopoid/Poecilostomatoid,0.142857143,0.029877846
Qualicum Noneelgrass,Echinoderm,1.428571429,0.298778456
Qualicum Noneelgrass,Fish,0.571428571,0.119511382
Qualicum Noneelgrass,Gammarid,188.6923077,39.46403742
Qualicum Noneelgrass,Pteropod,2.571428571,0.53780122
Qualicum Noneelgrass,Harpacticoid,6,1.254869514
Qualicum Noneelgrass,Insect,0,0
Qualicum Noneelgrass,Mysid,0.5,0.10457246
Qualicum Noneelgrass,Decapod,55.42857143,11.59260408
Qualicum Noneelgrass,Ostracod,16.78571429,3.510646856
Qualicum Noneelgrass,Polychaete,86.09340659,18.00599855
Qualicum Noneelgrass,Bivalve,1,0.209144919